TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, OI
BROOKS,20231006, 91.85, 93.00, 88.00, 90.75, 24925, -
BSE,20231006, 1333.20, 1419.00, 1332.00, 1401.50, 3027641, 1026436
BSHSL,20231006, 236.50, 244.90, 236.50, 242.45, 9166, 7817
BSL,20231006, 186.85, 210.00, 180.80, 192.70, 122671, 34939
BSOFT,20231006, 515.95, 520.50, 509.35, 512.70, 3080842, 1192319
BTML,20231006, 140.45, 147.65, 138.70, 147.15, 57508, 37713
BURNPUR,20231006, 4.95, 5.05, 4.90, 4.90, 285025, 173958
BUTTERFLY,20231006, 1224.00, 1248.00, 1217.00, 1227.75, 4478, 2330
BVCL,20231006, 38.90, 39.90, 37.65, 38.90, 10744, -
BYKE,20231006, 44.80, 51.90, 44.80, 49.40, 4048378, 1588254
CADSYS,20231006, 219.45, 219.45, 219.45, 219.45, 30000, 22000
CALSOFT,20231006, 14.55, 14.65, 14.20, 14.35, 17398, 15334
CAMLINFINE,20231006, 165.10, 168.45, 162.30, 164.60, 384359, 175303
CAMPUS,20231006, 289.70, 290.80, 287.10, 287.95, 474071, 250398
CAMS,20231006, 2480.00, 2497.95, 2446.00, 2489.40, 120412, 85660
CANBK,20231006, 373.45, 380.95, 371.00, 375.30, 6948282, 1562203
CANFINHOME,20231006, 759.10, 776.90, 759.10, 773.70, 540414, 215484
CANTABIL,20231006, 1175.00, 1183.60, 1162.35, 1172.30, 21232, 6705
CAPACITE,20231006, 214.00, 214.35, 210.10, 211.20, 407534, 218122
CAPLIPOINT,20231006, 1078.35, 1084.95, 1065.15, 1079.95, 73864, 31062
CAPTRUST,20231006, 98.00, 98.35, 96.60, 97.20, 4849, 3319
CARBORUNIV,20231006, 1194.00, 1194.00, 1166.00, 1168.85, 104129, 64581
CAREERP,20231006, 192.00, 192.90, 188.10, 189.55, 12011, -
CARERATING,20231006, 856.05, 864.60, 848.40, 853.95, 43404, 26334
CARTRADE,20231006, 596.00, 621.00, 596.00, 613.25, 399210, 183545
CARYSIL,20231006, 643.00, 649.75, 640.50, 647.70, 33547, 19030
