TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME,OI
POLYCAB-I,20231005,5350.45,5378.8,5261,5267.3,1516,2419500
POLYCAB-II,20231005,5375.45,5375.45,5280,5282.85,52,79200
POLYCAB-III,20231005,5325,5325,5295,5295,4,1500
POWERGRID-I,20231005,200.1,200.1,196.15,197.3,4329,69980400
POWERGRID-II,20231005,199.1,199.1,197,197.85,90,1321200
POWERGRID-III,20231005,199.15,199.15,197.15,198.15,8,64800
PVRINOX-I,20231005,1709.55,1716.45,1701.4,1711.9,1139,5435078
PVRINOX-II,20231005,1723.45,1727,1714.45,1722.55,36,88726
PVRINOX-III,20231005,1729.9,1738,1729.9,1737.85,5,18315
RAMCOCEM-I,20231005,960.8,962.5,936.2,938.65,2574,3761250
RAMCOCEM-II,20231005,954.45,961.1,936.25,938.65,118,85000
RAMCOCEM-III,20231005,940,940,940,940,1,850
RBLBANK-I,20231005,253,257.5,242.1,243.1,6878,58675000
RBLBANK-II,20231005,256.8,259,243.85,244.65,278,950000
RBLBANK-III,20231005,258.8,259.65,245.6,245.85,17,195000
RECLTD-I,20231005,286.75,288.35,279.2,280.8,3315,57944000
RECLTD-II,20231005,286.5,287.95,279,280.35,165,2408000
RECLTD-III,20231005,287.75,288.9,281,281.7,29,320000
RELIANCE-I,20231005,2326.05,2335.6,2316.45,2323.85,30809,53557500
RELIANCE-II,20231005,2343.8,2352.25,2334,2341.2,1200,1572000
RELIANCE-III,20231005,2370,2370,2353.4,2358.15,193,117750
SAIL-I,20231005,90.1,90.35,88.7,88.9,1637,134448000
SAIL-II,20231005,90.5,90.95,89.45,89.6,161,4456000
SAIL-III,20231005,91.65,91.7,90.2,90.25,38,512000
SBICARD-I,20231005,797.7,799.9,785,791.45,1790,9191200
SBICARD-II,20231005,801.9,801.9,790.5,796.05,125,271200
SBICARD-III,20231005,804.75,804.75,795,796.9,9,14400
SBILIFE-I,20231005,1272.1,1285.75,1272.05,1278,2564,7847250
SBILIFE-II,20231005,1281.45,1293.25,1280.6,1288.3,43,53250
SBILIFE-III,20231005,0,0,0,1293.8,0,1500
SBIN-I,20231005,592,596.1,588.15,594.45,19086,87766500
SBIN-II,20231005,593.5,600,592.35,598.45,602,3060000
SBIN-III,20231005,598.45,604,597.75,602.65,66,211500
SHREECEM-I,20231005,25650,25968.7,25512.7,25814.25,1448,199400
SHREECEM-II,20231005,25701,26050,25701,25943.85,12,600
SHREECEM-III,20231005,0,0,0,26094.05,0,0
SHRIRAMFIN-I,20231005,1865.85,1882,1831.5,1847.6,2382,8230800
SHRIRAMFIN-II,20231005,1865,1873.55,1840.2,1852.1,51,74400
SHRIRAMFIN-III,20231005,0,0,0,1905.2,0,0
SIEMENS-I,20231005,3534.95,3567,3517.05,3537.4,1934,2232175
SIEMENS-II,20231005,3557.85,3591.7,3546.75,3563.05,65,56100
SIEMENS-III,20231005,3600,3610.2,3580,3580,5,4400
SRF-I,20231005,2257.2,2276.3,2245.1,2272.4,1335,3682500
SRF-II,20231005,2269.3,2290,2260.8,2285.15,70,58125
SRF-III,20231005,2283,2291.85,2283,2291.85,18,3750
SUNPHARMA-I,20231005,1127.05,1130,1114,1121.55,4437,23436700
SUNPHARMA-II,20231005,1134.25,1137.55,1122.2,1128.7,54,97300
SUNPHARMA-III,20231005,1133.2,1133.2,1125.35,1125.35,3,5600
